Type;Address;IstOpcode;SollOpcode;IstCommand;SollCommand
B;0x09004;0x0000;0xFFFF;NOP;NOP
B;0x09006;0x0000;0xFFFF;NOP;NOP
A;0x09400;0xEF53;0x0631;GOTO 0x90A6;DECF 0x31, F, ACCESS
B;0x09402;0xF048;0xFF00;NOP;NOP
A;0x09404;0x0000;0x0109;NOP;MOVLB 0x9
A;0x09406;0x0000;0x01A1;NOP;MOVLB 0x1
A;0x09800;0xEF53;0x2BD2;GOTO 0x90A6;INCF 0xD2, F, BANKED
A;0x09802;0xF048;0x51D2;NOP;MOVF 0xD2, W, BANKED
A;0x09804;0x0000;0x0D01;NOP;MULLW 0x1
A;0x09806;0x0000;0x0EC3;NOP;MOVLW 0xC3
A;0x09C00;0xEF53;0x0102;GOTO 0x90A6;MOVLB 0x2
A;0x09C02;0xF048;0xBF1E;NOP;BTFSC 0x1E, 7, BANKED
A;0x09C04;0x0000;0xD013;NOP;BRA 0x9C2C
A;0x09C06;0x0000;0x511E;NOP;MOVF 0x1E, W, BANKED
A;0x0A000;0xEF53;0x22DA;GOTO 0x90A6;ADDWFC FSR2H, F, ACCESS
A;0x0A002;0xF048;0x0E00;NOP;MOVLW 0x0
A;0x0A004;0x0000;0x6EDE;NOP;MOVWF POSTINC2, ACCESS
A;0x0A006;0x0000;0x0E00;NOP;MOVLW 0x0
A;0x0A3FE;0xEE26;0xEE26;LFSR 2, 0x653;LFSR 2, 0x604
A;0x0A400;0xEF53;0xF004;GOTO 0x90A6;NOP
A;0x0A402;0xF048;0xC0A1;NOP;MOVFF 0xA1, INDF2
B;0x0A404;0x0000;0xFFDF;NOP;NOP
A;0x0A406;0x0000;0xEE26;NOP;LFSR 2, 0x605
A;0x0A800;0xEF53;0xA0D8;GOTO 0x90A6;BTFSS STATUS, 0, ACCESS
A;0x0A802;0xF048;0xD003;NOP;BRA 0xA80A
A;0x0A804;0x0000;0xEC67;NOP;CALL 0x128CE, 0
B;0x0A806;0x0000;0xF094;NOP;NOP
A;0x0AC00;0xEF53;0x0EF4;GOTO 0x90A6;MOVLW 0xF4
A;0x0AC02;0xF048;0x0102;NOP;MOVLB 0x2
A;0x0AC04;0x0000;0x257E;NOP;ADDWF 0x7E, W, BANKED
A;0x0AC06;0x0000;0x0100;NOP;MOVLB 0x0
A;0x0B000;0xEF53;0x5196;GOTO 0x90A6;MOVF 0x96, W, BANKED
A;0x0B002;0xF048;0x6F8C;NOP;MOVWF 0x8C, BANKED
A;0x0B004;0x0000;0x6B8D;NOP;CLRF 0x8D, BANKED
A;0x0B006;0x0000;0x0E01;NOP;MOVLW 0x1
A;0x0B400;0xEF53;0x51D1;GOTO 0x90A6;MOVF 0xD1, W, BANKED
A;0x0B402;0xF048;0x0D01;NOP;MULLW 0x1
A;0x0B404;0x0000;0x0EB8;NOP;MOVLW 0xB8
A;0x0B406;0x0000;0x24F3;NOP;ADDWF PROD, W, ACCESS
A;0x0B800;0xEF53;0x6EF8;GOTO 0x90A6;MOVWF TBLPTRU, ACCESS
A;0x0B802;0xF048;0xEE21;NOP;LFSR 2, 0x100
B;0x0B804;0x0000;0xF000;NOP;NOP
A;0x0B806;0x0000;0x0E07;NOP;MOVLW 0x7
A;0x0BC00;0xEF53;0xBEDF;GOTO 0x90A6;BTFSC INDF2, 7, ACCESS
A;0x0BC02;0xF048;0xD0AE;NOP;BRA 0xBD60
A;0x0BC04;0x0000;0xEE20;NOP;LFSR 2, 0x1
B;0x0BC06;0x0000;0xF001;NOP;NOP
A;0x0C000;0xEF53;0x0012;GOTO 0x90A6;RETURN 0
A;0x0C002;0xF048;0x010D;NOP;MOVLB 0xD
A;0x0C004;0x0000;0x0532;NOP;DECF 0x32, W, BANKED
A;0x0C006;0x0000;0xA4D8;NOP;BTFSS STATUS, 2, ACCESS
A;0x0C400;0xEF53;0xCFDD;GOTO 0x90A6;MOVFF POSTDEC2, 0x64
